Time,x_d,y_d,theta_d,delta_,v_,ddelta_dt
10.3586322,2.0651576,-2.6643463,-2.1382598,-0.1948736,0.5595994,0.0990934
10.4086739,2.0502777,-2.6875456,-2.1439129,-0.1900389,0.562649,0.0966933
10.4587156,2.0351726,-2.7108084,-2.1494574,-0.1853217,0.565707,0.0943436
10.5087573,2.0198439,-2.734134,-2.1548951,-0.1807195,0.5687717,0.0920449
10.558799,2.0042934,-2.7575219,-2.1602279,-0.1762296,0.5718414,0.0897973
10.6088407,1.9885227,-2.7809713,-2.1654576,-0.1718496,0.5749144,0.087601
10.6588824,1.9725336,-2.8044817,-2.1705859,-0.1675768,0.577989,0.0854561
10.7089241,1.9563278,-2.8280523,-2.1756145,-0.1634087,0.5810636,0.0833623
10.7589658,1.9399071,-2.8516826,-2.1805452,-0.1593427,0.5841366,0.0813195
10.8090075,1.9232734,-2.8753719,-2.1853795,-0.1553763,0.5872065,0.0793272
10.8590492,1.9064284,-2.8991196,-2.1901191,-0.1515071,0.5902719,0.0773851
10.9090909,1.8893739,-2.9229249,-2.1947656,-0.1477324,0.5933312,0.0754926
10.9591326,1.872112,-2.9467873,-2.1993205,-0.14405,0.5963831,0.0736491
11.0091743,1.8546444,-2.9707061,-2.2037854,-0.1404573,0.5994262,0.0718541
11.059216,1.836973,-2.9946806,-2.2081618,-0.1369519,0.6024592,0.0701068
11.1092577,1.8190999,-3.0187101,-2.212451,-0.1335316,0.6054808,0.0684064
11.1592994,1.801027,-3.0427941,-2.2166547,-0.130194,0.6084897,0.0667522
11.2093411,1.7827562,-3.0669318,-2.220774,-0.1269368,0.6114847,0.0651435
11.2593828,1.7642896,-3.0911226,-2.2248105,-0.1237579,0.6144646,0.0635792
11.3094245,1.7456293,-3.1153658,-2.2287654,-0.1206549,0.6174283,0.0620587
11.3594662,1.7267771,-3.1396608,-2.2326401,-0.1176259,0.6203745,0.060581
11.4095079,1.7077353,-3.1640069,-2.2364358,-0.1146686,0.6233024,0.0591452
11.4595496,1.6885059,-3.1884034,-2.2401538,-0.1117811,0.6262106,0.0577504
11.5095913,1.6690911,-3.2128496,-2.2437953,-0.1089613,0.6290983,0.0563958
11.559633,1.6494929,-3.2373449,-2.2473614,-0.1062073,0.6319645,0.0550804
11.6096747,1.6297135,-3.2618886,-2.2508534,-0.1035171,0.634808,0.0538034
11.6597164,1.6097551,-3.2864801,-2.2542724,-0.1008889,0.637628,0.0525638
11.7097581,1.5896198,-3.3111186,-2.2576195,-0.0983209,0.6404236,0.0513608
11.7597998,1.56931,-3.3358034,-2.2608957,-0.0958112,0.6431938,0.0501935
11.8098415,1.5488278,-3.360534,-2.2641022,-0.0933582,0.6459378,0.0490609
11.8598832,1.5281754,-3.3853096,-2.2672399,-0.0909601,0.6486547,0.0479624
11.9099249,1.5073552,-3.4101296,-2.2703098,-0.0886152,0.6513437,0.0468969
11.9599666,1.4863694,-3.4349932,-2.273313,-0.086322,0.6540039,0.0458637
12.0100083,1.4652204,-3.4598997,-2.2762503,-0.0840789,0.6566346,0.0448619
12.06005,1.4439104,-3.4848486,-2.2791228,-0.0818844,0.6592351,0.0438908
12.1100917,1.4224418,-3.5098391,-2.2819312,-0.0797369,0.6618045,0.0429495
12.1601334,1.4008169,-3.5348705,-2.2846766,-0.0776351,0.6643421,0.0420373
12.2101751,1.3790382,-3.5599421,-2.2873597,-0.0755774,0.6668472,0.0411534
12.2602168,1.357108,-3.5850533,-2.2899813,-0.0735625,0.6693192,0.0402971
12.3102585,1.3350287,-3.6102034,-2.2925424,-0.0715892,0.6717574,0.0394677
12.3603003,1.3128028,-3.6353916,-2.2950437,-0.0696559,0.674161,0.0386644
12.410342,1.2904327,-3.6606172,-2.2974859,-0.0677616,0.6765296,0.0378866
12.4603837,1.2679208,-3.6858797,-2.2998698,-0.0659049,0.6788624,0.0371337
12.5104254,1.2452696,-3.7111782,-2.3021961,-0.0640847,0.6811589,0.0364048
12.5604671,1.2224817,-3.7365122,-2.3044656,-0.0622997,0.6834185,0.0356996
12.6105088,1.1995595,-3.7618808,-2.306679,-0.0605488,0.6856406,0.0350172
12.6605505,1.1765055,-3.7872835,-2.3088368,-0.058831,0.6878247,0.0343572
12.7105922,1.1533223,-3.8127194,-2.3109398,-0.057145,0.6899702,0.0337189
12.7606339,1.1300124,-3.8381879,-2.3129886,-0.0554899,0.6920766,0.0331018
12.8106756,1.1065784,-3.8636884,-2.3149837,-0.0538647,0.6941434,0.0325054
12.8607173,1.0830228,-3.88922,-2.3169259,-0.0522682,0.6961702,0.031929
12.910759,1.0593483,-3.9147822,-2.3188157,-0.0506996,0.6981563,0.0313723
12.9608007,1.0355574,-3.9403742,-2.3206535,-0.0491579,0.7001015,0.0308348
13.0108424,1.0116527,-3.9659952,-2.3224401,-0.0476421,0.7020051,0.0303158
13.0608841,0.987637,-3.9916447,-2.3241758,-0.0461513,0.7038669,0.0298151
13.1109258,0.9635127,-4.0173218,-2.3258613,-0.0446847,0.7056863,0.0293321
13.1609675,0.9392826,-4.0430259,-2.327497,-0.0432414,0.707463,0.0288664
13.2110092,0.9149493,-4.0687563,-2.3290833,-0.0418205,0.7091965,0.0284177
13.2610509,0.8905156,-4.0945123,-2.3306208,-0.0404212,0.7108865,0.0279854
13.3110926,0.865984,-4.1202932,-2.3321099,-0.0390428,0.7125326,0.0275693
13.3611343,0.8413573,-4.1460982,-2.333551,-0.0376843,0.7141345,0.027169
13.411176,0.8166381,-4.1719266,-2.3349445,-0.0363451,0.7156917,0.026784
13.4612177,0.7918293,-4.1977778,-2.3362909,-0.0350244,0.717204,0.0264141
13.5112594,0.7669335,-4.223651,-2.3375905,-0.0337215,0.7186711,0.026059
13.5613011,0.7419534,-4.2495456,-2.3388437,-0.0324356,0.7200926,0.0257182
13.6113428,0.7168919,-4.2754607,-2.3400508,-0.031166,0.7214682,0.0253916
13.6613845,0.6917516,-4.3013958,-2.3412122,-0.029912,0.7227976,0.0250789
13.7114262,0.6665353,-4.32735,-2.3423283,-0.0286731,0.7240806,0.0247797
13.7614679,0.6412458,-4.3533227,-2.3433993,-0.0274484,0.7253169,0.0244938
13.8115096,0.6158858,-4.3793132,-2.3444255,-0.0262373,0.7265062,0.0242209
13.8615513,0.5904582,-4.4053207,-2.3454073,-0.0250393,0.7276483,0.0239609
13.911593,0.5649658,-4.4313445,-2.3463449,-0.0238536,0.7287429,0.0237134
13.9616347,0.5394113,-4.457384,-2.3472386,-0.0226797,0.7297899,0.0234783
14.0116764,0.5137975,-4.4834383,-2.3480885,-0.0215169,0.730789,0.0232553
14.0617181,0.4881273,-4.5095069,-2.3488951,-0.0203647,0.73174,0.0230443
14.1117598,0.4624035,-4.5355889,-2.3496584,-0.0192224,0.7326428,0.0228451
14.1618015,0.4366289,-4.5616836,-2.3503787,-0.0180896,0.7334971,0.0226575
14.2118432,0.4108063,-4.5877904,-2.3510563,-0.0169655,0.7343027,0.0224813
14.2618849,0.3849387,-4.6139086,-2.3516912,-0.0158497,0.7350596,0.0223164
14.3119266,0.3590287,-4.6400373,-2.3522837,-0.0147416,0.7357675,0.0221627
14.3619683,0.3330793,-4.6661759,-2.3528339,-0.0136406,0.7364263,0.0220199
14.41201,0.3070933,-4.6923237,-2.3533419,-0.0125462,0.737036,0.021888
14.4620517,0.2810735,-4.7184799,-2.3538081,-0.0114578,0.7375963,0.0217669
14.5120934,0.2550229,-4.7446438,-2.3542323,-0.010375,0.7381071,0.0216565
14.5621351,0.2289443,-4.7708148,-2.3546148,-0.0092972,0.7385684,0.0215566
14.6121768,0.2028405,-4.7969921,-2.3549557,-0.0082238,0.7389801,0.0214672
14.6622185,0.1767145,-4.8231749,-2.3552551,-0.0071544,0.739342,0.0213883
14.7122602,0.150569,-4.8493626,-2.355513,-0.0060884,0.7396542,0.0213196
14.7623019,0.124407,-4.8755544,-2.3557296,-0.0050253,0.7399165,0.0212612
14.8123436,0.0982314,-4.9017497,-2.3559048,-0.0039647,0.7401289,0.0212131
14.8623853,0.0720449,-4.9279476,-2.3560387,-0.0029059,0.7402914,0.0211751
14.912427,0.0458505,-4.9541475,-2.3561314,-0.0018486,0.7404039,0.0211473
14.9624687,0.0196511,-4.9803487,-2.3561829,-0.0007921,0.7404664,0.0211296
15.0125104,-0.0065504,-5.0065504,-2.3561932,0.000264,0.7404789,0.021122
15.0625521,-0.0327513,-5.032752,-2.3561623,0.0013202,0.7404414,0.0211246
15.1125938,-0.0589485,-5.0589526,-2.3560902,0.0023771,0.7403539,0.0211372
15.1626355,-0.0851393,-5.0851516,-2.3559769,0.0034351,0.7402164,0.0211599
15.2126772,-0.1113207,-5.1113483,-2.3558223,0.0044947,0.740029,0.0211928
15.2627189,-0.1374899,-5.137542,-2.3556265,0.0055565,0.7397916,0.0212359
15.3127606,-0.163644,-5.1637318,-2.3553892,0.006621,0.7395043,0.0212891
15.3628023,-0.1897801,-5.1899172,-2.3551106,0.0076886,0.7391673,0.0213526
15.412844,-0.2158954,-5.2160973,-2.3547905,0.0087599,0.7387805,0.0214265
